Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Text Area 2,Text Area 3,Text Area 4,Text Area 5,Text Area 6,Text Area 7,Text Area 8,Text Area 9,Text Area 10,Text Area 11,Text Area 12,Text Area 13,Text Area 14,Text Area 15,Text Area 16,Text Area 17,Text Area 18,Text Area 19,Text Area 20,Text Area 21,Text Area 22,Text Area 23,Text Area 24,Text Area 25,Text Area 26,Text Area 27,Text Area 28,Text Area 29,Text Area 30,Text Area 31,Text Area 32,Text Area 33,Text Area 34,Text Area 35,Text Area 36,Text Area 37,Text Area 38,Text Area 39,Text Area 40,Text Area 41,Text Area 42,Text Area 43,Text Area 44,Text Area 45,Text Area 46,Text Area 47,Text Area 48,Text Area 49,Text Area 50,Text Area 51,Text Area 52,Text Area 53,Text Area 54,Text Area 55,Text Area 56,Text Area 57,Text Area 58,Text Area 59,Text Area 60,Text Area 61,Text Area 62,Text Area 63,Text Area 64,Text Area 65,Text Area 66,Text Area 67,Text Area 68,Text Area 69,Text Area 70,Text Area 71,Text Area 72,Text Area 73,Text Area 74,Text Area 75,Text Area 76,Text Area 77,Text Area 78,Text Area 79,Text Area 80,Text Area 81,Text Area 82,Text Area 83,Text Area 84,Text Area 85,Comments
1,Document,,,,,,,,,Draft,MitigaCiberseguridad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"Entity (Key, Field, Type)",Entity Relationship,2,,,,,,,,applied_controls,PK,id_control,bigint,FK,id_ref_control,bigint,AK,control_code,character varying(80),,control_name,character varying(255),,description,text,,control_type,character varying(50),,target_process_type,character varying(30),FK,target_process_id,integer,,implementation_status,character varying(30),,effectiveness_rating,character varying(20),,test_frequency,character varying(50),,last_test_date,date,,next_test_date,date,,last_test_result,text,FK,owner_user_id,bigint,FK,responsible_unit_id,bigint,,linked_requirements,jsonb,,created_at,timestamp with time zone,,updated_at,timestamp with time zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Entity (Key, Field, Type)",Entity Relationship,2,,,,,,,,bia_impacts,PK,id_bia_impact,bigint,FK,id_bia,bigint,,hours_to_impact,integer,FK,impact_category_lu,bigint,FK,severity_lu,bigint,,financial_estimate,numeric,,description,text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"Entity (Key, Field, Type)",Entity Relationship,2,,,,,,,,macroprocess_bcms_data,"PK,FK",id_macroprocess,integer,,strategic_importance,character varying(20),FK,governance_owner_id,bigint,,review_frequency,character varying(50),,last_review_date,date,,next_review_date,date,,notes,text,,created_at,timestamp with time zone,,updated_at,timestamp with time zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"Entity (Key, Field, Type)",Entity Relationship,2,,,,,,,,process_bcms_data,"PK,FK",id_process,integer,,business_criticality,character varying(20),,process_category,character varying(50),,target_rto_minutes,integer,,target_rpo_minutes,integer,,maximum_tolerable_downtime_minutes,integer,,minimum_business_continuity_objective,text,,minimum_staff_required,integer,,process_inputs,jsonb,,process_outputs,jsonb,,regulatory_drivers,text,,applicable_frameworks,jsonb,,operating_frequency,character varying(50),,peak_operation_periods,text,,automation_level,character varying(20),FK,owner_user_id,bigint,FK,responsible_unit_id,bigint,,created_at,timestamp with time zone,,updated_at,timestamp with time zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"Entity (Key, Field, Type)",Entity Relationship,2,,,,,,,,procedure_bcms_data,"PK,FK",id_procedure,integer,,execution_steps,jsonb,,required_skills,jsonb,,required_tools,jsonb,,automation_tool,character varying(255),,estimated_duration_min,integer,,verification_method,text,,fallback_procedure,text,FK,owner_user_id,bigint,,created_at,timestamp with time zone,,updated_at,timestamp with time zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"Entity (Key, Field, Type)",Entity Relationship,2,,,,,,,,recovery_strategies,PK,id_strategy,bigint,FK,id_plan,bigint,,strategy_name,character varying(255),,description,text,,rto_hours,integer,,rpo_hours,integer,,estimated_cost,numeric,,resource_requirements,text,,dependencies,text,,created_at,timestamp with time zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"Entity (Key, Field, Type)",Entity Relationship,2,,,,,,,,macroprocesses,PK,id_macroprocess,integer,AK,code,character varying(50),,name,character varying(255),,description,text,,category,character varying(100),,color_hex,character(7),,is_active,boolean,,created_at,timestamp with time zone,,updated_at,timestamp with time zone,,created_by,character varying(255),,updated_by,character varying(255),,is_deleted,boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"Entity (Key, Field, Type)",Entity Relationship,2,,,,,,,,organization_procedure,PK,id_org_procedure,integer,"FK,AK",id_organization,integer,"FK,AK",id_procedure,integer,,created_at,timestamp with time zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"Entity (Key, Field, Type)",Entity Relationship,2,,,,,,,,requirement_nodes,PK,id_requirement,bigint,"FK,AK",id_framework,bigint,FK,parent_requirement_id,bigint,AK,requirement_code,character varying(80),,title,character varying(255),,description,text,,node_depth,integer,,order_index,integer,,is_assessable,boolean,FK,maturity_target_lu,bigint,,metadata,jsonb,,created_at,timestamp with time zone,,update_at,timestamp with time zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
